adc_id,adc_name,aliases,target,antibody,linker_name,linker_type,payload_name,payload_class,dar,indication,development_status,company,source_url,data_review_status,brand_name,approval_date,approval_jurisdictions,catalog_status,dar_reported,as_of_date,verification_status
adc_001,Trastuzumab deruxtecan,T-DXd|DS-8201|Enhertu,HER2,Trastuzumab,Tetrapeptide GGFG,cleavable,Dxd,Topoisomerase I inhibitor,8.0,HER2-positive or HER2-low breast cancer and other HER2-expressing tumors,approved,Daiichi Sankyo / AstraZeneca,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-fam-trastuzumab-deruxtecan-nxki-her2-positive-unresectable-or-metastatic-breast-cancer,needs_review,Enhertu,2019-12-20,FDA;EMA;PMDA,marketed,7-8,2026-06-30,primary_check_pending
adc_002,Trastuzumab emtansine,T-DM1|Kadcyla,HER2,Trastuzumab,SMCC,non-cleavable,DM1,Microtubule inhibitor,3.5,HER2-positive breast cancer,approved,Roche,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-ado-trastuzumab-emtansine,needs_review,Kadcyla,2013-02-22,FDA;EMA;PMDA;NMPA,marketed,3.5,2026-06-30,primary_check_pending
adc_003,Disitamab vedotin,RC48|RC48-ADC|Aidixi,HER2,Disitamab,Val-Cit-PABC,cleavable,MMAE,Microtubule inhibitor,4.0,HER2-overexpressing gastric and urothelial cancer,approved,RemeGen,https://www.hkexnews.hk/listedco/listconews/sehk/2025/0509/2025050900953.pdf,needs_review,Aidixi,2021-06-08,NMPA,marketed,4,2026-06-30,primary_check_pending
adc_004,Sacituzumab govitecan,IMMU-132|Trodelvy,TROP2,hRS7,CL2A,cleavable,SN-38,Topoisomerase I inhibitor,7.6,Metastatic triple-negative and HR-positive HER2-negative breast cancer,approved,Gilead Sciences,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-sacituzumab-govitecan-hziy-metastatic-triple-negative-breast-cancer,needs_review,Trodelvy,2020-04-22,FDA,marketed,7-8,2026-06-30,primary_check_pending
adc_005,Datopotamab deruxtecan,Dato-DXd|DS-1062|Datroway,TROP2,Datopotamab,Tetrapeptide GGFG,cleavable,Dxd,Topoisomerase I inhibitor,4.0,HR-positive HER2-negative breast cancer,approved,Daiichi Sankyo / AstraZeneca,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-datopotamab-deruxtecan-dlnk-unresectable-or-metastatic-hr-positive-her2-negative-breast,needs_review,Datroway,2025-01-17,FDA,marketed,4-8,2026-06-30,primary_check_pending
adc_006,Sacituzumab tirumotecan,SKB264|MK-2870|Jiatailai,TROP2,Anti-TROP2 antibody,CL2A-derived MsPr,cleavable,KL610023,Topoisomerase I inhibitor,,Breast cancer and non-small-cell lung cancer,approved,Sichuan Kelun-Biotech / Merck,https://static.cninfo.com.cn/finalpage/2024-11-27/1221861539.PDF,needs_review,Jiatailai,2024-11-01,NMPA,marketed,7.4,2026-06-30,primary_check_pending
adc_007,Gemtuzumab ozogamicin,Mylotarg|GO,CD33,Humanized IgG4,AcBut hydrazone,cleavable,Calicheamicin,DNA-damaging agent,,CD33-positive acute myeloid leukemia,approved,Pfizer,https://www.fda.gov/drugs/resources-information-approved-drugs/gemtuzumab-ozogamicin,needs_review,Mylotarg,2000-05-17,FDA;EMA;PMDA,marketed,2-3,2026-06-30,primary_check_pending
adc_008,Brentuximab vedotin,Adcetris|SGN-35,CD30,Chimeric IgG1,MC-Val-Cit-PABC,cleavable,MMAE,Microtubule inhibitor,4.0,Hodgkin lymphoma and peripheral T-cell lymphoma,approved,Seagen / Takeda,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-brentuximab-vedotin,needs_review,Adcetris,2011-08-19,FDA;EMA;PMDA;NMPA,marketed,4,2026-06-30,primary_check_pending
adc_009,Inotuzumab ozogamicin,Besponsa|CMC-544,CD22,Humanized IgG4,AcBut hydrazone,cleavable,Calicheamicin,DNA-damaging agent,,Relapsed or refractory B-cell precursor acute lymphoblastic leukemia,approved,Pfizer,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-inotuzumab-ozogamicin-relapsed-or-refractory-b-cell-precursor-acute-lymphoblastic,needs_review,Besponsa,2017-06-28,FDA;EMA;PMDA,marketed,2-8,2026-06-30,primary_check_pending
adc_010,Polatuzumab vedotin,Polivy|DCDS4501A,CD79b,Humanized IgG1,MC-Val-Cit-PABC,cleavable,MMAE,Microtubule inhibitor,3.5,Diffuse large B-cell lymphoma,approved,Genentech / Roche,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-polatuzumab-vedotin-piiq-diffuse-large-b-cell-lymphoma,needs_review,Polivy,2019-06-10,FDA;EMA,marketed,3-4,2026-06-30,primary_check_pending
