adc_id,adc_name,aliases,target,antibody,linker_name,linker_type,payload_name,payload_class,dar,indication,development_status,company,source_url,data_review_status
adc_001,Trastuzumab deruxtecan,T-DXd|DS-8201|Enhertu,HER2,Trastuzumab,Tetrapeptide linker,cleavable,DXd,Topoisomerase I inhibitor,8.0,Solid tumors,approved,Daiichi Sankyo / AstraZeneca,https://clinicaltrials.gov/search?intr=trastuzumab%20deruxtecan,needs_review
adc_002,Trastuzumab emtansine,T-DM1|Kadcyla,HER2,Trastuzumab,SMCC,non-cleavable,DM1,Microtubule inhibitor,3.5,Breast cancer,approved,Roche,https://clinicaltrials.gov/search?intr=trastuzumab%20emtansine,needs_review
adc_003,Disitamab vedotin,RC48|RC48-ADC|Aidixi,HER2,Disitamab,Valine-citrulline linker,cleavable,MMAE,Microtubule inhibitor,4.0,Solid tumors,approved,RemeGen,https://clinicaltrials.gov/search?intr=disitamab%20vedotin,needs_review
adc_004,Trastuzumab duocarmazine,SYD985,HER2,Trastuzumab,Valine-citrulline linker,cleavable,seco-DUBA,Duocarmycin alkylating agent,2.8,Breast cancer,investigational,Byondis,https://clinicaltrials.gov/search?intr=trastuzumab%20duocarmazine,needs_review
adc_005,MRG002,,HER2,Anti-HER2 monoclonal antibody,Valine-citrulline linker,cleavable,MMAE,Microtubule inhibitor,3.8,Solid tumors,investigational,Mabwell / Lepu Biopharma,https://clinicaltrials.gov/search?intr=MRG002,needs_review
adc_006,Sacituzumab govitecan,IMMU-132|Trodelvy,TROP2,hRS7,CL2A,cleavable,SN-38,Topoisomerase I inhibitor,7.6,Solid tumors,approved,Gilead Sciences,https://clinicaltrials.gov/search?intr=sacituzumab%20govitecan,needs_review
adc_007,Datopotamab deruxtecan,DS-1062|Dato-DXd|Datroway,TROP2,Datopotamab,Tetrapeptide linker,cleavable,DXd,Topoisomerase I inhibitor,4.0,Solid tumors,approved,Daiichi Sankyo / AstraZeneca,https://clinicaltrials.gov/search?intr=datopotamab%20deruxtecan,needs_review
adc_008,Sacituzumab tirumotecan,SKB264|MK-2870,TROP2,Anti-TROP2 monoclonal antibody,KL610023 linker,cleavable,KL610023 payload,Topoisomerase I inhibitor,7.4,Solid tumors,approved,Kelun-Biotech / Merck,https://clinicaltrials.gov/search?intr=sacituzumab%20tirumotecan,needs_review
adc_009,SHR-A1921,,TROP2,Anti-TROP2 monoclonal antibody,Proprietary cleavable linker,cleavable,Topoisomerase I inhibitor payload,Topoisomerase I inhibitor,,Solid tumors,investigational,Jiangsu Hengrui,https://clinicaltrials.gov/search?intr=SHR-A1921,needs_review
adc_010,ESG401,,TROP2,Anti-TROP2 monoclonal antibody,Proprietary cleavable linker,cleavable,Topoisomerase I inhibitor payload,Topoisomerase I inhibitor,,Solid tumors,investigational,CSPC Pharmaceutical Group,https://clinicaltrials.gov/search?intr=ESG401,needs_review

